model,iter,tracc,trfa,trdr,teacc,tefa,tedr,tteacc,ttefa,ttedr
NbsFsvm,0,0.994651198,0.002768805,0.989795918,0.808479138,0.127282645,0.683890358,0.641793644,0.215717822,0.303671072
NbsFsvm,1,0.9934436,0.003406381,0.987432286,0.811067078,0.125316595,0.686275922,0.533924147,0.32836029,0.236604455
NbsFsvm,2,0.993711163,0.002757987,0.987110634,0.807674808,0.128813768,0.685172406,0.644473294,0.218547259,0.276086213
NbsFsvm,3,0.993459081,0.003156418,0.987157162,0.808498148,0.122295911,0.675923917,0.651220075,0.193977813,0.235677822
NbsFsvm,4,0.995989709,0.001966455,0.992124262,0.805410466,0.133030201,0.685348065,0.608829237,0.253339528,0.293163075
NbsFsvm,5,0.992987168,0.003069228,0.985456913,0.809542319,0.124856522,0.680393288,0.592270059,0.238423212,0.252061249
NbsFsvm,6,0.993625797,0.003323021,0.987847222,0.807341467,0.126322662,0.677892358,0.550369198,0.34493988,0.303950472
NbsFsvm,7,0.994882986,0.001949094,0.988832932,0.814922663,0.119549253,0.686172277,0.524233602,0.317893401,0.196682464
NbsFsvm,8,0.994254589,0.002612152,0.988253209,0.811295503,0.120530692,0.676977932,0.578127931,0.259000837,0.244279176
NbsFsvm,9,0.994860943,0.002426343,0.989731265,0.8108962,0.124579375,0.685146646,0.575112728,0.222010961,0.084864865
NbsFrf,0,1,0,1,0.75838965,0.034876403,0.363452753,0.703614886,0.033104151,0.096328928
NbsFrf,1,1,0,1,0.760280744,0.036407557,0.366359447,0.552371733,0.265553653,0.168272125
NbsFrf,2,1,0,1,0.759201825,0.03950911,0.376698475,0.704896171,0.036831683,0.035579884
NbsFrf,3,1,0,1,0.764166785,0.036487765,0.38827415,0.666108022,0.113529841,0.066080545
NbsFrf,4,1,0,1,0.756416437,0.033423999,0.353904679,0.639149418,0.113021257,0.071561586
NbsFrf,5,1,0,1,0.761488681,0.034713696,0.366459926,0.608436172,0.135130971,0.118374558
NbsFrf,6,1,0,1,0.758154787,0.037451921,0.364726809,0.670704225,0.053182695,0.079893868
NbsFrf,7,1,0,1,0.766581948,0.034921826,0.381729557,0.626888489,0.056678503,0.016850974
NbsFrf,8,1,0,1,0.762456813,0.032901754,0.364917606,0.658853119,0.070453135,0.159897025
